Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-05-20,2016,5,20,Friday,20,2016-20,204.92,206.1,204.86,205.49,104990400,182.11,0.0063172668813598065,182.32928571428573,182.4248
2016-05-23,2016,5,23,Monday,21,2016-21,205.51,205.84,204.99,205.21,58682600,181.86,-0.0013623006769106771,182.26857142857145,182.4866
2016-05-24,2016,5,24,Tuesday,21,2016-21,206.17,208.24,206.14,207.87,93537800,184.22,0.012962154087636124,182.4492857142857,182.6002
2016-05-25,2016,5,25,Wednesday,21,2016-21,208.67,209.77,207.87,209.28,76621400,185.47,0.00678312856834018,182.72214285714287,182.7446
2016-05-26,2016,5,26,Thursday,21,2016-21,209.44,209.71,208.97,209.34,55280700,185.53,0.00028654676512318566,182.95142857142855,182.8696
2016-05-27,2016,5,27,Friday,21,2016-21,209.53,210.25,209.47,210.24,64211200,186.32,0.004299602083041476,183.22642857142858,182.9876
2016-05-31,2016,5,31,Tuesday,22,2016-22,210.56,210.69,209.18,209.84,109879400,185.97,-0.0019029806621065903,183.31428571428572,183.08440000000002
2016-06-01,2016,6,1,Wednesday,22,2016-22,209.12,210.48,208.89,210.27,69936200,186.35,0.002049294828755155,183.55285714285714,183.18359999999996
2016-06-02,2016,6,2,Thursday,22,2016-22,209.8,210.93,209.24,210.91,63044700,186.92,0.0030439097118111214,183.82857142857142,183.2962
2016-06-03,2016,6,3,Friday,22,2016-22,210.25,210.69,208.86,210.28,101757100,186.36,-0.0029873245648872615,184.17785714285716,183.4216
2016-06-06,2016,6,6,Monday,23,2016-23,210.7,211.77,210.51,211.35,64887000,187.31,0.005088444328467556,184.46714285714285,183.56759999999997
2016-06-07,2016,6,7,Tuesday,23,2016-23,211.53,212.34,211.5,211.68,60974800,187.6,0.001561508553471036,184.8992857142857,183.71720000000002
2016-06-08,2016,6,8,Wednesday,23,2016-23,211.84,212.52,211.69,212.37,66170900,188.21,0.0032596750557181142,185.37142857142857,183.84560000000002
2016-06-09,2016,6,9,Thursday,23,2016-23,211.51,212.22,211.19,212.08,73786900,187.95,-0.0013655136104243626,185.87000000000003,183.953
2016-06-10,2016,6,10,Friday,23,2016-23,210.46,210.86,209.43,210.07,113829200,186.17,-0.00947757334764332,186.16,184.0336
2016-06-13,2016,6,13,Monday,24,2016-24,209.36,210.37,208.35,208.45,117751200,184.74,-0.00771184712557238,186.3657142857143,184.06079999999997
2016-06-14,2016,6,14,Tuesday,24,2016-24,208.0,208.74,206.92,208.04,125059300,184.37,-0.0019669814079206205,186.37642857142856,184.09240000000003
2016-06-15,2016,6,15,Wednesday,24,2016-24,208.04,209.36,207.53,207.75,109124500,184.12,-0.0013938519888418988,186.27999999999997,184.15559999999996
2016-06-16,2016,6,16,Thursday,24,2016-24,207.75,208.57,205.59,208.37,149533100,184.67,0.0029841988626098104,186.21857142857144,184.1902
2016-06-17,2016,6,17,Friday,24,2016-24,207.17,207.2,205.75,206.52,117055700,183.98,-0.0037240250307629674,186.05142857142854,184.25480000000005
2016-06-20,2016,6,20,Monday,25,2016-25,208.82,209.61,207.75,207.85,82789600,185.16,0.0064399913777366535,185.9935714285714,184.3332
2016-06-21,2016,6,21,Tuesday,25,2016-25,208.3,208.92,207.78,208.44,72461700,185.69,0.002838693685033533,185.94642857142858,184.43079999999998
2016-06-22,2016,6,22,Wednesday,25,2016-25,208.65,209.5,207.93,208.1,95560500,185.39,-0.0016311599708577207,185.83714285714288,184.4888
2016-06-23,2016,6,23,Thursday,25,2016-25,209.81,210.87,209.27,210.81,102731400,187.8,0.013022531804852244,185.94,184.558
2016-06-24,2016,6,24,Friday,25,2016-25,203.63,210.85,202.72,203.24,333444400,181.06,-0.03590897346521915,185.4935714285714,184.49219999999997
2016-06-27,2016,6,27,Monday,26,2016-26,201.59,201.6,198.65,199.6,230775800,177.81,-0.017909993421355352,184.7942857142857,184.3656
2016-06-28,2016,6,28,Tuesday,26,2016-26,201.48,203.23,201.12,203.2,159382400,181.02,0.018036150219271185,184.2807142857143,184.27719999999997
2016-06-29,2016,6,29,Wednesday,26,2016-26,204.84,206.93,204.72,206.66,137328600,184.1,0.01702725963114915,184.00571428571428,184.2388
2016-06-30,2016,6,30,Thursday,26,2016-26,207.21,209.54,206.56,209.48,165021900,186.61,0.01364571047787333,184.0371428571429,184.247
2016-07-01,2016,7,1,Friday,26,2016-26,209.48,210.49,209.29,209.92,106055300,187.01,0.002100413983026961,184.1992857142857,184.2832
2016-07-05,2016,7,5,Tuesday,27,2016-27,208.95,209.08,207.71,208.41,109803700,185.66,-0.007192922648461608,184.29142857142855,184.29240000000001
2016-07-06,2016,7,6,Wednesday,27,2016-27,207.83,209.8,207.06,209.66,96021500,186.77,0.0059977790021683575,184.4807142857143,184.3302
2016-07-07,2016,7,7,Thursday,27,2016-27,209.87,210.65,208.63,209.53,85593800,186.66,-0.0006202370135424129,184.62285714285716,184.3604
2016-07-08,2016,7,8,Friday,27,2016-27,211.05,212.94,210.78,212.65,133971000,189.44,0.014890430634134644,185.01285714285717,184.43859999999998
2016-07-11,2016,7,11,Monday,28,2016-28,213.19,214.07,212.95,213.4,73633900,190.11,0.0035269309981447172,185.36642857142857,184.56380000000001
2016-07-12,2016,7,12,Tuesday,28,2016-28,214.53,215.3,213.43,214.95,101275600,191.49,0.007263442875454551,185.7807142857143,184.7364
2016-07-13,2016,7,13,Wednesday,28,2016-28,215.44,215.45,214.35,214.92,87324100,191.46,-0.00013937005690500825,186.21428571428572,184.87940000000003
2016-07-14,2016,7,14,Thursday,28,2016-28,216.4,216.67,215.66,216.12,91230900,192.53,0.0055832302257607935,186.55214285714285,185.0758
2016-07-15,2016,7,15,Friday,28,2016-28,216.78,217.01,215.31,215.83,107155400,192.27,-0.0013417732694830375,187.35285714285715,185.2874
2016-07-18,2016,7,18,Monday,29,2016-29,215.97,216.6,215.67,216.41,58725900,192.79,0.0026874695304650587,188.42285714285714,185.5102
2016-07-19,2016,7,19,Tuesday,29,2016-29,215.92,216.23,215.63,216.19,54345700,192.59,-0.0010168137961219514,189.2492857142857,185.71560000000002
2016-07-20,2016,7,20,Wednesday,29,2016-29,216.19,217.37,216.19,217.09,58159500,193.39,0.004163062429377584,189.91285714285712,185.93400000000003
2016-07-21,2016,7,21,Thursday,29,2016-29,216.96,217.22,215.75,216.27,67777300,192.66,-0.003777339952626857,190.34500000000003,186.09240000000003
2016-07-22,2016,7,22,Friday,29,2016-29,216.41,217.3,216.1,217.24,62787500,193.53,0.004485368262087341,190.81071428571428,186.30280000000002
2016-07-25,2016,7,25,Monday,30,2016-30,217.0,217.06,215.97,216.65,55873100,193.0,-0.002716229617830801,191.335,186.5016
2016-07-26,2016,7,26,Tuesday,30,2016-30,216.53,217.17,215.76,216.75,70080500,193.09,0.0004617121996064455,191.7864285714286,186.73399999999998
2016-07-27,2016,7,27,Wednesday,30,2016-30,217.19,217.27,215.62,216.52,84083900,192.89,-0.0010609738326837759,192.23142857142855,186.9266
